City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Timbiqui,CO,2.7717,-77.6654,75.49,93,99,6.29,moderate rain
191,Vao,NC,-22.6667,167.4833,78.75,87,99,20.4,moderate rain
192,Terrace Bay,CA,48.7834,-87.1,25.18,89,100,9.13,light snow
193,Fairbanks,US,64.8378,-147.7164,3.54,84,75,0.0,broken clouds
194,Iskateley,RU,67.6803,53.1512,17.31,96,100,9.48,overcast clouds
195,Saint-Pierre,RE,-21.3393,55.4781,78.57,68,0,5.75,clear sky
196,Yulara,AU,-25.2406,130.9889,77.13,19,0,8.34,clear sky
197,Isangel,VU,-19.55,169.2667,86.11,70,78,8.05,light rain
198,Rio Gallegos,AR,-51.6226,-69.2181,66.25,32,0,5.75,clear sky
199,Yerbogachen,RU,61.2767,108.0108,-10.71,93,100,7.81,overcast clouds
200,Samarai,PG,-10.6167,150.6667,82.44,74,100,2.77,overcast clouds
201,Knokke-Heist,BE,51.3333,3.3333,41.02,86,52,7.34,broken clouds
202,Zhumadian,CN,32.9794,114.0294,26.04,64,5,4.83,clear sky
203,Saint-Joseph,RE,-21.3667,55.6167,77.47,79,15,4.36,few clouds
204,Acapulco,MX,16.8634,-99.8901,83.97,65,10,8.52,clear sky
205,Batasan,PH,12.7667,120.7833,80.73,70,100,4.7,overcast clouds
206,San Jeronimo,PE,-11.9472,-75.2829,67.46,31,3,5.93,clear sky
207,Ouesso,CG,1.6136,16.0517,70.16,97,76,1.99,light rain
208,High Level,CA,58.5169,-117.136,-14.69,76,40,3.44,scattered clouds
209,Geraldton,AU,-28.7667,114.6,59.41,88,100,4.61,overcast clouds
210,Carlyle,US,38.6103,-89.3726,41.43,49,39,10.0,scattered clouds
211,College,US,64.8569,-147.8028,1.8,87,85,2.06,overcast clouds
212,East London,ZA,-33.0153,27.9116,71.87,92,79,5.08,broken clouds
213,Oistins,BB,13.0667,-59.5333,80.69,74,20,18.41,few clouds
214,Vikhorevka,RU,56.1201,101.1636,-15.21,92,100,8.1,overcast clouds
215,Manokwari,ID,-0.8667,134.0833,78.35,78,100,2.28,overcast clouds
216,Cairns,AU,-16.9167,145.7667,78.75,77,40,5.75,scattered clouds
217,Maningrida,AU,-12.0667,134.2667,81.91,70,94,3.96,overcast clouds
218,Verkhoyansk,RU,67.5447,133.385,-16.96,98,100,4.0,overcast clouds
219,Rodrigues Alves,BR,-7.738,-72.6509,86.2,63,82,6.13,broken clouds
220,Arlit,NE,18.7369,7.3853,73.8,17,99,5.86,overcast clouds
221,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.46,81,47,11.74,scattered clouds
222,Amapa,BR,1.0,-52.0,72.97,97,82,2.95,broken clouds
223,Kathu,TH,7.9178,98.3332,84.74,85,100,8.97,overcast clouds
224,Leningradskiy,RU,69.3833,178.4167,26.62,83,100,8.99,overcast clouds
225,Oranjemund,NA,-28.55,16.4333,62.46,94,13,7.27,few clouds
226,Waingapu,ID,-9.6567,120.2641,78.48,82,82,1.68,broken clouds
227,Bilma,NE,18.6853,12.9164,68.68,24,57,7.78,broken clouds
228,Kavaratti,IN,10.5669,72.642,80.64,76,5,1.66,clear sky
229,Tukrah,LY,32.5341,20.5791,60.66,72,57,9.1,broken clouds
230,Luwingu,ZM,-10.2621,29.9271,62.85,89,98,3.31,light rain
231,Aklavik,CA,68.2191,-135.0107,-0.4,85,75,5.75,broken clouds
232,Upington,ZA,-28.4478,21.2561,86.38,32,86,16.11,overcast clouds
233,Mar Del Plata,AR,-38.0023,-57.5575,65.08,86,75,17.27,broken clouds
234,Dakar,SN,14.6937,-17.4441,77.13,83,40,13.8,scattered clouds
235,Snasa,NO,64.2457,12.3778,27.81,84,21,5.19,few clouds
236,Duluth,US,46.7833,-92.1066,30.34,52,0,13.8,clear sky
237,Ternate,ID,0.8,127.4,79.74,80,61,3.67,broken clouds
238,Inhambane,MZ,-23.865,35.3833,72.52,88,4,7.96,clear sky
239,Diego De Almagro,CL,-26.3667,-70.05,71.65,28,0,10.56,clear sky
240,Aktau,KZ,43.65,51.2,21.78,36,0,11.74,clear sky
241,Kemin,KG,42.7846,75.6892,24.4,84,100,0.47,overcast clouds
242,Codrington,AU,-38.2667,141.9667,55.31,74,12,6.44,few clouds
243,Andenes,NO,69.3143,16.1194,39.18,87,100,4.61,overcast clouds
244,Brae,GB,60.3964,-1.353,48.06,91,100,25.79,light rain
245,Richards Bay,ZA,-28.783,32.0377,70.63,78,100,15.01,overcast clouds
246,Hermiston,US,45.8404,-119.2895,44.15,59,54,3.0,broken clouds
247,Bethel,US,41.3712,-73.414,41.09,50,0,12.66,clear sky
248,Camacha,PT,33.0833,-16.3333,62.02,77,40,14.97,scattered clouds
249,Yaan,NG,7.3833,8.5667,78.31,27,74,1.81,broken clouds
250,Luderitz,NA,-26.6481,15.1594,63.12,86,0,18.43,clear sky
251,Palmeira,BR,-25.4294,-50.0064,65.1,95,34,4.32,moderate rain
252,Sherbakul,RU,54.6316,72.3963,-5.94,97,12,7.16,few clouds
253,Krasnoselkup,RU,65.7,82.4667,-4.09,98,100,10.31,overcast clouds
254,Pleshanovo,RU,52.8333,53.4833,9.1,97,80,4.59,broken clouds
255,Sept-Iles,CA,50.2001,-66.3821,32.0,82,100,13.8,overcast clouds
256,Provideniya,RU,64.3833,-173.3,33.91,100,100,15.99,drizzle
257,Torres,BR,-29.3353,-49.7269,72.23,95,90,9.51,overcast clouds
258,Zarya,RU,55.7553,38.0958,13.32,94,100,3.78,overcast clouds
259,Beloha,MG,-25.1667,45.05,72.46,86,99,9.37,overcast clouds
260,Vallenar,CL,-28.5708,-70.7581,75.61,43,0,8.12,clear sky
261,Necochea,AR,-38.5473,-58.7368,59.95,76,99,10.71,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,67.73,63,20,13.8,few clouds
263,Kamenka,RU,51.3223,42.7678,22.3,72,40,6.24,scattered clouds
264,Harper,LR,4.375,-7.7169,78.26,84,100,5.86,light rain
265,Orange,US,33.7,-117.7675,62.55,61,100,5.01,overcast clouds
266,Porto Novo,BJ,6.4965,2.6036,82.22,81,75,6.82,broken clouds
267,Cierna Nad Tisou,SK,48.417,22.0887,30.99,83,78,8.3,broken clouds
268,Celestun,MX,20.8667,-90.4,82.26,72,7,18.95,clear sky
269,Artvin,TR,41.1667,41.8333,48.02,76,84,4.92,broken clouds
270,Shestakovo,RU,56.4915,103.96,-9.22,92,100,6.58,overcast clouds
271,Zhezkazgan,KZ,47.8043,67.7144,15.06,83,90,9.57,overcast clouds
272,Roma,US,43.2128,-75.4557,35.82,65,98,5.01,overcast clouds
273,Hobbs,US,32.7026,-103.136,59.05,39,0,13.8,clear sky
274,Milas,TR,37.3164,27.7839,52.95,94,75,3.44,broken clouds
275,San Rafael,AR,-34.6177,-68.3301,81.84,20,43,7.4,scattered clouds
276,Chuy,UY,-33.6971,-53.4616,73.45,86,54,9.01,broken clouds
277,Naberera,TZ,-4.2,36.9333,64.4,79,86,10.25,overcast clouds
278,Torbay,CA,47.6666,-52.7314,43.39,92,100,29.93,light intensity drizzle
279,Tibacuy,CO,4.3511,-72.4564,80.82,70,60,8.41,broken clouds
280,Nador,MA,35.174,-2.9287,55.65,88,75,6.91,broken clouds
281,Huicungo,PE,-7.2833,-76.8,88.77,53,69,3.96,broken clouds
282,Egvekinot,RU,66.3167,-179.1667,29.21,99,100,11.23,light snow
283,Yabelo,ET,4.8833,38.0833,59.4,54,50,14.76,scattered clouds
284,Nizhniy Odes,RU,63.6445,54.856,-10.21,100,96,4.23,overcast clouds
285,Kedrovyy,RU,56.1667,91.8167,-15.14,100,100,2.95,overcast clouds
286,Mount Gambier,AU,-37.8333,140.7667,56.7,65,9,5.61,clear sky
287,Soyo,AO,-6.1349,12.3689,79.25,86,98,7.87,overcast clouds
288,Mount Isa,AU,-20.7333,139.5,78.57,31,0,6.91,clear sky
289,Sisimiut,GL,66.9395,-53.6735,8.42,76,81,16.58,broken clouds
290,Trairi,BR,-3.2778,-39.2689,80.08,74,16,11.54,few clouds
291,Narasannapeta,IN,18.4167,84.05,71.15,81,1,5.53,clear sky
292,Impfondo,CG,1.6381,18.0667,69.75,98,96,2.13,overcast clouds
293,Anderson,US,34.5334,-82.6499,54.23,38,74,3.44,broken clouds
294,Lagoa,PT,39.05,-27.9833,57.43,53,82,31.47,broken clouds
295,Karema,TZ,-6.8205,30.4389,68.41,90,100,3.65,overcast clouds
296,Grindavik,IS,63.8424,-22.4338,41.47,81,40,20.71,scattered clouds
297,Evanston,US,42.0411,-87.6901,35.38,49,40,11.5,scattered clouds
298,Sabang,ID,5.8933,95.3214,81.21,71,100,8.37,overcast clouds
299,Tuni,IN,17.35,82.55,71.51,89,1,5.23,clear sky
300,Cardston,CA,49.2,-113.3019,-0.31,71,100,3.44,overcast clouds
301,Iquitos,PE,-3.7481,-73.2472,87.08,63,62,1.81,broken clouds
302,Severomuysk,RU,56.1481,113.4267,-26.81,97,99,5.75,overcast clouds
303,Huarmey,PE,-10.0681,-78.1522,71.01,77,12,10.22,few clouds
304,Itacare,BR,-14.2775,-38.9967,76.82,89,100,13.98,overcast clouds
305,Boa Vista,BR,2.8197,-60.6733,84.18,58,0,6.91,clear sky
306,Labuhan,ID,-6.8844,112.2051,76.37,82,100,11.81,light rain
307,Mnogovershinnyy,RU,53.9353,139.9242,-17.0,99,81,5.93,broken clouds
308,Goksun,TR,38.021,36.4973,45.1,89,79,3.76,broken clouds
309,Tarko-Sale,RU,64.9225,77.785,-6.84,90,88,10.09,overcast clouds
310,Kibungo,RW,-2.1597,30.5427,65.32,98,100,2.59,light rain
311,Benghazi,LY,32.1167,20.0667,64.18,63,22,7.61,few clouds
312,Usinsk,RU,65.9939,57.5281,-4.88,98,28,12.12,scattered clouds
313,Gazli,UZ,40.1333,63.45,30.09,53,100,7.76,overcast clouds
314,Moerai,PF,-22.4333,-151.3333,76.78,82,22,12.35,few clouds
315,Vila Velha,BR,-20.3297,-40.2925,73.94,96,100,11.81,light rain
316,Bourail,NC,-21.5667,165.4833,86.65,61,96,7.11,overcast clouds
317,Astoria,US,46.1879,-123.8313,40.93,95,40,3.44,scattered clouds
318,Terney,RU,45.0503,136.6092,4.08,72,2,7.49,clear sky
319,Caravelas,BR,-17.7125,-39.2481,75.2,91,100,7.31,overcast clouds
320,Berlevag,NO,70.8578,29.0864,33.8,86,75,8.05,broken clouds
321,Namwala,ZM,-15.7504,26.4384,66.92,40,0,3.09,clear sky
322,Portland,US,45.5234,-122.6762,42.84,79,100,7.0,overcast clouds
323,Uray,RU,60.1247,64.7758,-10.07,98,11,1.95,few clouds
324,Ukiah,US,39.1502,-123.2078,49.15,72,0,9.22,clear sky
325,Whitley Bay,GB,55.0397,-1.4471,43.32,97,75,0.0,broken clouds
326,Miraflores,MX,19.2167,-98.8083,72.97,42,74,2.28,broken clouds
327,Kibala,TD,9.1104,18.3463,83.41,27,97,3.4,overcast clouds
328,Honiara,SB,-9.4333,159.95,80.89,84,94,2.62,light rain
329,Vestmannaeyjar,IS,63.4427,-20.2734,44.38,67,100,23.31,overcast clouds
330,Shingu,JP,33.7333,135.9833,41.97,77,85,5.21,overcast clouds
331,Kankon,IN,15.0167,74.0167,75.09,58,1,3.47,clear sky
332,Lavrentiya,RU,65.5833,-171.0,32.16,97,100,14.56,snow
333,Kloulklubed,PW,7.0419,134.2556,82.54,76,99,12.88,overcast clouds
334,Sarh,TD,9.1429,18.3923,83.61,27,98,2.84,overcast clouds
335,Manta,EC,-0.95,-80.7333,74.98,78,100,11.5,overcast clouds
336,Baherden,TM,38.4362,57.4316,43.95,69,100,7.7,overcast clouds
337,Peace River,CA,56.2501,-117.286,-1.26,88,100,5.32,overcast clouds
338,Cabo Rojo,PR,18.0866,-67.1457,82.22,85,9,11.52,clear sky
339,Broome,US,42.2506,-75.833,33.85,66,75,11.99,broken clouds
340,Nipawin,CA,53.3668,-104.0009,-3.14,94,100,6.69,overcast clouds
341,Ostrovnoy,RU,68.0531,39.5131,25.47,94,100,12.03,overcast clouds
342,Bairiki,KI,1.3292,172.9752,81.64,77,23,17.34,light rain
343,Gigmoto,PH,13.7796,124.39,80.08,83,76,12.84,broken clouds
344,Edd,ER,13.9297,41.6925,80.98,54,0,14.07,clear sky
